NORIOCOMP,Frequencia,Impacto,Vulnerabil,NM_MUN,SIGLA_UF,length_m
Rio Chafariz,Baixa,Baixo,Baixa,Ouro Branco,RN,14389.495930494813
Rio Chafariz,Baixa,Baixo,Baixa,Santa Luzia,PB,16472.363333477395
Rio Chafariz,Baixa,Baixo,Baixa,Santa Luzia,RN,14389.495930494813
Rio Chafariz,Baixa,Baixo,Baixa,Várzea,PB,14389.495930494813
Rio Chafariz,Baixa,Baixo,Baixa,Várzea,RN,14389.495930494813
Rio Chafariz,Média,Alto,Alta,Caicó,RN,4244.135139648815
Rio Chafariz,Média,Baixo,Baixa,Ouro Branco,PB,14389.495930494813
Rio Chafariz,Média,Baixo,Baixa,Ouro Branco,RN,14389.495930494813
Rio Chafariz,Média,Baixo,Baixa,Santa Luzia,PB,14389.495930494813
Rio Chafariz,Média,Baixo,Baixa,Santa Luzia,RN,14389.495930494813
Rio Chafariz,Média,Baixo,Baixa,Várzea,PB,14389.495930494813
Rio Chafariz,Média,Baixo,Baixa,Várzea,RN,14389.495930494813
Rio Chandless,Média,Baixo,Baixa,Manoel Urbano,AC,260879.59655991005
Rio Chandless,Média,Baixo,Baixa,Santa Rosa do Purus,AC,47269.4669685682
Rio Chapecó,Média,Médio,Média,São Carlos,SC,14568.983190380406
Rio Chapecó,Média,Médio,Média,Águas de Chapecó,SC,14568.983190380406
Rio Choró,Baixa,Baixo,Baixa,Quixadá,CE,2599.322577459459
Rio Claro,Alta,Baixo,Média,Carmo do Rio Claro,MG,4229.6963716258215
Rio Claro,Média,Alto,Alta,Fazenda Nova,GO,20561.449997495136
Rio Claro,Média,Alto,Alta,Israelândia,GO,17933.39623301367
Rio Claro,Média,Alto,Alta,Jaupaci,GO,17933.39623301367
Rio Coari Grande,Alta,Médio,Alta,Coari,AM,13189.161640243787
Rio Cobre,Alta,Baixo,Média,Cutias,AP,25829.467116430915
Rio Cobre,Alta,Baixo,Média,Tartarugalzinho,AP,34755.39289156979
Rio Cocó,Alta,Alto,Alta,Fortaleza,CE,20397.1985080955
Rio Cocó,Alta,Alto,Alta,Maracanaú,CE,9925.244304103702
Rio Colorado,Média,Baixo,Baixa,Colorado,RS,10294.128581019202
Rio Colorado,Média,Baixo,Baixa,Lagoa dos Três Cantos,RS,10294.128581019202
Rio Colorado,Média,Baixo,Baixa,Selbach,RS,22559.506554117834
Rio Colorado,Média,Baixo,Baixa,Tapera,RS,22559.506554117834
Rio Colônia,Alta,Médio,Alta,Caatiba,BA,34676.66753190302
Rio Colônia,Alta,Médio,Alta,Itapetinga,BA,34676.66753190302
Rio Colônia,Alta,Médio,Alta,Itororó,BA,34676.66753190302
Rio Comandai,Baixa,Baixo,Baixa,Giruá,RS,11373.603931628762
Rio Comandai,Baixa,Baixo,Baixa,Guarani das Missões,RS,52196.47323521026
Rio Comandai,Baixa,Baixo,Baixa,Santo Ângelo,RS,11373.603931628762
Rio Comandai,Baixa,Baixo,Baixa,Senador Salgado Filho,RS,21138.36999227884
Rio Comandai,Baixa,Baixo,Baixa,Sete de Setembro,RS,51012.34515267095
Rio Comandai,Baixa,Baixo,Baixa,Ubiretama,RS,37280.153970034684
Rio Comandai,Baixa,Baixo,Média,Campina das Missões,RS,45327.26361165829
Rio Comandai,Baixa,Baixo,Média,Cerro Largo,RS,31450.075659300433
Rio Comandai,Baixa,Baixo,Média,Guarani das Missões,RS,31450.075659300433
Rio Comandai,Baixa,Baixo,Média,Salvador das Missões,RS,41172.48909477945
Rio Comandai,Baixa,Baixo,Média,São Paulo das Missões,RS,13877.187952357852
Rio Comandai,Baixa,Baixo,Média,Ubiretama,RS,31450.075659300433
Rio Comandai,Média,Baixo,Média,Campina das Missões,RS,20558.718138974065
Rio Comandai,Média,Baixo,Média,Porto Lucena,RS,26687.705627564006
Rio Comandai,Média,Baixo,Média,Porto Xavier,RS,18000.114115492022
Rio Comandai,Média,Baixo,Média,São Paulo das Missões,RS,38558.832254466084
Rio Conguji,Baixa,Alto,Alta,Dário Meira,BA,11732.785704935242
Rio Conguji,Baixa,Alto,Alta,Ibicuí,BA,11732.785704935242
Rio Contigo,Alta,Médio,Alta,Uiramutã,RR,13212.811965387818
Rio Coreaú,Média,Alto,Alta,Granja,CE,8335.143778148256
Rio Coreaú,Média,Médio,Média,Coreaú,CE,8608.610491975624
Rio Corrente,Baixa,Baixo,Baixa,Açucena,MG,7807.097137143111
Rio Corrente,Baixa,Baixo,Baixa,São Geraldo da Piedade,MG,7807.097137143111
Rio Corrente,Baixa,Médio,Média,Chapadão do Céu,GO,11706.137153423251
Rio Corrente,Baixa,Médio,Média,Serranópolis,GO,11706.137153423251
Rio Corrente,Média,Alto,Alta,Alvorada do Norte,GO,45646.665199971896
Rio Corrente,Média,Alto,Alta,Santa Maria da Vitória,BA,12879.801159257715
Rio Corrente,Média,Alto,Alta,Simolândia,GO,47836.91616291066
Rio Corrente,Média,Alto,Alta,São Félix do Coribe,BA,12879.801159257715
Rio Corrente Canoa,Baixa,Baixo,Baixa,Guanhães,MG,8443.620999364575
Rio Corrente Grande,Baixa,Baixo,Baixa,Açucena,MG,1544.305092297746
Rio Corrente Grande,Baixa,Baixo,Baixa,Gonzaga,MG,7488.206129080458
Rio Corrente Grande,Baixa,Baixo,Baixa,Guanhães,MG,22770.45356745625
Rio Corrente Grande,Baixa,Baixo,Baixa,Santa Efigênia de Minas,MG,12490.960569565374
Rio Corrente Grande,Baixa,Baixo,Baixa,São Geraldo da Piedade,MG,1544.305092297746
Rio Corrente Grande,Baixa,Médio,Média,Guanhães,MG,5961.4990860351245
Rio Correntes,Alta,Médio,Alta,Barão de Melgaço,MS,2122.283710703403
Rio Correntes,Alta,Médio,Alta,Barão de Melgaço,MT,2122.283710703403
Rio Correntes,Alta,Médio,Alta,Corumbá,MS,71965.84889527936
Rio Correntes,Alta,Médio,Alta,Corumbá,MT,71965.84889527936
Rio Correntes,Alta,Médio,Alta,Coxim,MS,5229.45432592321
Rio Correntes,Alta,Médio,Alta,Coxim,MT,5229.45432592321
Rio Correntes,Alta,Médio,Alta,Itiquira,MS,71965.84889527936
Rio Correntes,Alta,Médio,Alta,Itiquira,MT,71965.84889527936
Rio Correntes,Alta,Médio,Alta,Santo Antônio de Leverger,MS,2122.283710703403
Rio Correntes,Alta,Médio,Alta,Santo Antônio de Leverger,MT,2122.283710703403
Rio Corumbataí,Média,Médio,Média,Barbosa Ferraz,PR,30086.284217217995
Rio Corumbataí,Média,Médio,Média,Godoy Moreira,PR,43619.16766019913
Rio Corumbataí,Média,Médio,Média,Iretama,PR,17289.780812920704
Rio Corumbataí,Média,Médio,Média,Jardim Alegre,PR,13532.883442981136
Rio Corumbá,Alta,Baixo,Média,Orizona,GO,20829.169628224
Rio Corumbá,Alta,Baixo,Média,Pires do Rio,GO,11504.480218777135
Rio Corumbá,Alta,Baixo,Média,Urutaí,GO,20829.169628224
Rio Coruripe,Baixa,Baixo,Baixa,Coruripe,AL,24706.37013441743
Rio Coruripe,Média,Baixo,Baixa,Arapiraca,AL,56045.7102680716
Rio Coruripe,Média,Baixo,Baixa,Coruripe,AL,6937.210051977209
Rio Coruripe,Média,Baixo,Baixa,Junqueiro,AL,56045.7102680716
Rio Coruripe,Média,Baixo,Baixa,Limoeiro de Anadia,AL,56045.7102680716
Rio Coruripe,Média,Baixo,Baixa,Teotônio Vilela,AL,62982.920320048805
Rio Cotaxé ou Braço Norte do Rio São Mateus,Alta,Alto,Alta,Boa Esperança,ES,20019.184512402808
Rio Cotaxé ou Braço Norte do Rio São Mateus,Alta,Alto,Alta,Nova Venécia,ES,20019.184512402808
Rio Covó,Baixa,Baixo,Baixa,Mangueirinha,PR,11461.238829697082
Rio Coxim,Baixa,Baixo,Baixa,Coxim,MS,3307.329625350532
Rio Coxim,Baixa,Baixo,Baixa,Rio Verde de Mato Grosso,MS,3307.329625350532
Rio Cravari,Média,Médio,Média,Brasnorte,MT,13379.11247820889
Rio Cravari,Média,Médio,Média,Juara,MT,13379.11247820889
Rio Cricaré ou Braço Sul do Rio São Mateus,Alta,Alto,Alta,Nova Venécia,ES,12927.551422796525
Rio Cricaré ou Braço Sul do Rio São Mateus,Média,Baixo,Baixa,Central de Minas,MG,7608.731836005989
Rio Cricaré ou Braço Sul do Rio São Mateus,Média,Baixo,Baixa,Mantena,MG,6563.806346433183
Rio Cricaré ou Braço Sul do Rio São Mateus,Média,Baixo,Baixa,Mendes Pimentel,MG,7608.731836005989
Rio Cricaré ou Braço Sul do Rio São Mateus,Média,Médio,Média,Mantena,MG,8963.990887468794
Rio Crixás-açu,Média,Baixo,Baixa,Crixás,GO,42979.34482400277
Rio Crixás-açu,Média,Baixo,Baixa,Mara Rosa,GO,23534.09002187165
Rio Crixás-açu,Média,Baixo,Baixa,Santa Terezinha de Goiás,GO,105258.58817290275
Rio Crixás-açu,Média,Baixo,Baixa,Uirapuru,GO,77286.20479300914
Rio Croatá,Baixa,Médio,Média,Nova Olinda,PB,13397.506977918338
Rio Croatá,Baixa,Médio,Média,Pedra Branca,PB,11443.865936888471
Rio Croatá,Baixa,Médio,Média,Santana dos Garrotes,PB,11443.865936888471
Rio Cubatão,Alta,Alto,Alta,Santo Amaro da Imperatriz,SC,23279.115845063425
Rio Cubatão,Alta,Alto,Alta,Águas Mornas,SC,15419.707910236655
Rio Cubatão,Alta,Baixo,Média,Águas Mornas,SC,18314.08986990653
Rio Cubatão,Alta,Médio,Alta,Palhoça,SC,12944.208582847357
Rio Cubatão,Alta,Médio,Alta,Santo Amaro da Imperatriz,SC,6862.290698038566
Rio Cuiabá,Alta,Alto,Alta,Barão de Melgaço,MT,40574.34446507005
Rio Cuiabá,Alta,Alto,Alta,Cuiabá,MT,13945.261007124438
Rio Cuiabá,Alta,Alto,Alta,Nossa Senhora do Livramento,MT,54519.60547219448
Rio Cuiabá,Alta,Alto,Alta,Santo Antônio de Leverger,MT,115658.30631197702
Rio Cuiabá,Baixa,Alto,Alta,Cuiabá,MT,42449.574188238315
Rio Cuiabá,Baixa,Alto,Alta,Nobres,MT,13599.655111795399
Rio Cuiabá,Baixa,Alto,Alta,Rosário Oeste,MT,46069.19664896705
Rio Cuiabá,Baixa,Alto,Alta,Várzea Grande,MT,42449.574188238315
Rio Cuiabá,Baixa,Baixo,Baixa,Acorizal,MT,21699.285120156237
Rio Cuiabá,Baixa,Baixo,Baixa,Cuiabá,MT,37726.60890946938
Rio Cuiabá,Baixa,Baixo,Baixa,Jangada,MT,3481.677362211494
Rio Cuiabá,Baixa,Baixo,Baixa,Várzea Grande,MT,22628.800153220644
Rio Curimataí,Alta,Baixo,Média,Augusto de Lima,MG,37353.971771226476
Rio Curimataí,Alta,Baixo,Média,Buenópolis,MG,11222.698523864718
Rio Curimataí,Média,Médio,Média,Antônio Cardoso,BA,22335.248560052034
Rio Curimataí,Média,Médio,Média,Ipecaetá,BA,22335.248560052034
Rio Curimataú,Média,Baixo,Baixa,Nova Cruz,RN,3563.8569113539293
Rio Curimataú,Média,Médio,Média,Pedro Velho,RN,13645.685819984634
Rio Curu,Alta,Médio,Alta,Apuiarés,CE,14070.399329393716
Rio Curu,Alta,Médio,Alta,Paracuru,CE,13342.430166259051
Rio Curu,Alta,Médio,Alta,Paraipaba,CE,13342.430166259051
Rio Curu,Alta,Médio,Alta,Pentecoste,CE,14070.399329393716
Rio Curu,Alta,Médio,Alta,São Gonçalo do Amarante,CE,4824.781037321449
Rio Curuá,Alta,Médio,Alta,Alenquer,PA,31509.158450446594
Rio Curuá,Alta,Médio,Alta,Curuá,PA,54596.532463249256
Rio Curuá,Alta,Médio,Alta,Santarém,PA,23726.12592486457
Rio Curuçá,Alta,Baixo,Média,Barreirinha,AM,112907.1727169341
Rio Curuçá,Alta,Baixo,Média,Boa Vista do Ramos,AM,112907.1727169341
Rio Curuçá,Alta,Baixo,Média,Parintins,AM,112907.1727169341
Rio Cágado,Alta,Baixo,Média,Bicas,MG,8976.770613694263
Rio Cágado,Alta,Baixo,Média,Chiador,MG,6950.872582765826
Rio Cágado,Alta,Baixo,Média,Guarará,MG,8976.770613694263
Rio Cágado,Alta,Baixo,Média,Mar de Espanha,MG,8976.770613694263
Rio Cágado,Alta,Baixo,Média,Pequeri,MG,8976.770613694263
Rio Cágado,Alta,Baixo,Média,Santana do Deserto,MG,6950.872582765826
Rio Descoberto,Alta,Médio,Alta,Brasília,DF,2909.7633227619467
Rio Descoberto,Alta,Médio,Alta,Brasília,GO,2909.7633227619467
Rio Descoberto,Alta,Médio,Alta,Águas Lindas de Goiás,DF,2909.7633227619467
Rio Descoberto,Alta,Médio,Alta,Águas Lindas de Goiás,GO,2909.7633227619467
Rio Doce,Alta,Alto,Alta,Aimorés,MG,7970.008867637542
Rio Doce,Alta,Alto,Alta,Baixo Guandu,ES,8881.305631986488
Rio Doce,Alta,Alto,Alta,Colatina,ES,21164.863769706993
Rio Doce,Alta,Alto,Alta,Conselheiro Pena,MG,23366.59515895936
Rio Doce,Alta,Alto,Alta,Galiléia,MG,4734.603119309978
Rio Doce,Alta,Alto,Alta,Governador Valadares,MG,15968.400919901069
Rio Doce,Alta,Alto,Alta,Itueta,MG,24856.619947241434
Rio Doce,Alta,Alto,Alta,Linhares,ES,79952.40084010825
Rio Doce,Alta,Alto,Alta,Resplendor,MG,36631.282778504305
Rio Doce,Alta,Alto,Alta,Tumiritinga,MG,36293.42775799218
Rio Doce,Alta,Baixo,Média,Aimorés,ES,4028.51531837361
Rio Doce,Alta,Baixo,Média,Aimorés,MG,4028.51531837361
Rio Doce,Alta,Baixo,Média,Baixo Guandu,ES,25399.25907460299
Rio Doce,Alta,Baixo,Média,Baixo Guandu,MG,4028.51531837361
Rio Doce,Alta,Baixo,Média,Colatina,ES,13109.108039250448
Rio Doce,Alta,Baixo,Média,Conselheiro Pena,MG,5170.53222659134
Rio Doce,Alta,Baixo,Média,Governador Valadares,MG,45199.93605992697
Rio Doce,Alta,Baixo,Média,Periquito,MG,17349.00606693052
Rio Doce,Alta,Baixo,Média,Sobrália,MG,4209.753988915029
Rio Doce,Alta,Médio,Alta,Aimorés,MG,4812.52175684409
Rio Doce,Alta,Médio,Alta,Colatina,ES,11391.393984553648
Rio Doce,Alta,Médio,Alta,Conselheiro Pena,MG,12878.150154941304
Rio Doce,Alta,Médio,Alta,Governador Valadares,MG,5557.7418849755
Rio Doce,Baixa,Alto,Alta,Ipaba,MG,8169.1313824720355
Rio Doce,Baixa,Alto,Alta,Ipatinga,MG,5471.845876878708
Rio Doce,Baixa,Alto,Alta,Santana do Paraíso,MG,23568.742119796094
Rio Doce,Baixa,Baixo,Baixa,Belo Oriente,MG,2630.999483852023
Rio Doce,Baixa,Baixo,Baixa,Ipaba,MG,2630.999483852023
Rio Doce,Baixa,Baixo,Baixa,Ipatinga,MG,1906.158566395532
Rio Doce,Baixa,Baixo,Baixa,Timóteo,MG,1906.158566395532
Rio Dois Irmãos ( Braço Direito),Alta,Alto,Alta,Anastácio,MS,4902.746947019602
Rio Dois Irmãos ( Braço Direito),Alta,Alto,Alta,Aquidauana,MS,4902.746947019602
Rio Dois Irmãos ( Braço Direito),Alta,Alto,Alta,Dois Irmãos do Buriti,MS,74222.9891169796
Rio Dois Riachos,Baixa,Baixo,Baixa,Dois Riachos,AL,50384.44087383777
Rio Dois Riachos,Baixa,Baixo,Baixa,Dois Riachos,PE,29626.998930385907
Rio Dois Riachos,Baixa,Baixo,Baixa,Iati,AL,29626.998930385907
Rio Dois Riachos,Baixa,Baixo,Baixa,Iati,PE,29626.998930385907
Rio Dois Riachos,Baixa,Baixo,Baixa,Olho d'Água das Flores,AL,20757.441943451864
Rio Dois Riachos,Baixa,Baixo,Baixa,Olivença,AL,20757.441943451864
Rio Dois Riachos,Baixa,Baixo,Baixa,Águas Belas,AL,29626.998930385907
Rio Dois Riachos,Baixa,Baixo,Baixa,Águas Belas,PE,29626.998930385907
Rio Douradinho,Alta,Baixo,Média,São João do Soter,MA,24685.76668952824
Rio Dourado,Baixa,Baixo,Baixa,Congonhal,MG,31005.51751250524
Rio Dourado,Baixa,Baixo,Baixa,Espírito Santo do Dourado,MG,31005.51751250524
Rio Dourado,Baixa,Baixo,Baixa,Poço Fundo,MG,31005.51751250524
Rio Dourado,Baixa,Baixo,Baixa,São João da Mata,MG,31005.51751250524
Rio Dourados,Baixa,Baixo,Baixa,Caarapó,MS,16858.125993111666
Rio Dourados,Baixa,Baixo,Baixa,Dourados,MS,57900.31704343153
Rio Dourados,Baixa,Baixo,Baixa,Fátima do Sul,MS,21409.45342922387
Rio Dueré,Baixa,Baixo,Baixa,Aliança do Tocantins,TO,29178.03209047037
Rio Dueré,Baixa,Baixo,Baixa,Crixás do Tocantins,TO,10538.843300180633
Rio Dueré,Baixa,Baixo,Baixa,Dueré,TO,37185.01579756997
Rio Elvas,Alta,Baixo,Média,Barbacena,MG,30960.39753751972
Rio Elvas,Alta,Baixo,Média,Prados,MG,28910.823499791975
Rio Elvas,Alta,Baixo,Média,São João del Rei,MG,44591.65563112691
Rio Eme,Alta,Baixo,Média,Resplendor,MG,15222.77906150961
Rio Eme,Média,Baixo,Baixa,Conselheiro Pena,MG,7718.126509849964
Rio Eme,Média,Baixo,Baixa,Cuparaque,MG,7718.126509849964
Rio Eme,Média,Baixo,Baixa,Goiabeira,MG,7718.126509849964
Rio Envira,Baixa,Baixo,Baixa,Feijó,AC,62151.20912253127
Rio Envira,Média,Alto,Alta,Feijó,AC,18806.178083767656
Rio Envira,Média,Baixo,Baixa,Feijó,AC,366526.2689173583
Rio Envira,Média,Médio,Média,Feijó,AC,96511.26708499785
Rio Espalha,Alta,Alto,Alta,Rio Branco,AC,200472.65015646728
Rio Espalha,Alta,Baixo,Média,Brasiléia,AC,28530.392213382616
Rio Espalha,Alta,Baixo,Média,Rio Branco,AC,32754.812352289715
Rio Espinhares,Baixa,Baixo,Baixa,Patos,PB,6413.922517609982
Rio Espinhares,Baixa,Baixo,Baixa,São José de Espinharas,PB,9059.864785002515
Rio Espinhares,Média,Baixo,Baixa,Serra Negra do Norte,PB,13929.863954216731
Rio Espinhares,Média,Baixo,Baixa,Serra Negra do Norte,RN,19043.035589775427
Rio Espinhares,Média,Baixo,Baixa,São Bento,PB,13929.863954216731
Rio Espinhares,Média,Baixo,Baixa,São Bento,RN,13929.863954216731
Rio Espinhares,Média,Médio,Média,Serra Negra do Norte,RN,9779.933586906687
Rio Espírito Santo,Média,Baixo,Baixa,Patos de Minas,MG,8027.326879228065
Rio Estrela,Baixa,Alto,Alta,Bela Vista,MS,13143.08114730179
Rio Falsinho,Alta,Baixo,Média,Ferreira Gomes,AP,18985.318557687056
Rio Farinha,Baixa,Baixo,Baixa,Feira Nova do Maranhão,MA,9804.912306791302
Rio Farinha,Baixa,Baixo,Baixa,São Pedro dos Crentes,MA,9804.912306791302
Rio Fartura,Média,Baixo,Baixa,Santana do Itararé,PR,36448.22106574852
Rio Fartura,Média,Baixo,Baixa,Wenceslau Braz,PR,34801.941092710375
Rio Fiúza,Média,Baixo,Baixa,Panambi,RS,36782.648518523914
Rio Fiúza,Média,Baixo,Baixa,Santa Bárbara do Sul,RS,21601.613086439924
Rio Formiga,Baixa,Baixo,Baixa,Campos de Júlio,MT,27850.86628022774
Rio Formoso,Baixa,Médio,Média,Chapadão do Céu,GO,56947.53913805115
Rio Formoso,Baixa,Médio,Média,Mineiros,GO,56947.53913805115
Rio Formoso,Baixa,Médio,Média,Serranópolis,GO,56947.53913805115
Rio Formoso,Média,Alto,Alta,Dueré,TO,64245.38229941485
Rio Formoso,Média,Alto,Alta,Lagoa da Confusão,TO,122101.44283771206
Rio Forqueta,Baixa,Alto,Alta,Arroio do Meio,RS,19527.269778416798
Rio Forqueta,Baixa,Alto,Alta,Estrela,RS,8725.644055576126
Rio Forqueta,Baixa,Alto,Alta,Lajeado,RS,19527.269778416798
Rio Forqueta,Baixa,Alto,Alta,Marques de Souza,RS,10801.62572284067
Rio Forqueta,Baixa,Alto,Alta,Travesseiro,RS,10801.62572284067
Rio Forqueta,Baixa,Baixo,Baixa,Arvorezinha,RS,18427.16459913816
Rio Forqueta,Baixa,Baixo,Baixa,Coqueiro Baixo,RS,26345.410606141155
Rio Forqueta,Baixa,Baixo,Baixa,Fontoura Xavier,RS,18427.16459913816
Rio Forqueta,Baixa,Baixo,Baixa,Ilópolis,RS,18427.16459913816
Rio Forqueta,Baixa,Baixo,Baixa,Marques de Souza,RS,5600.742440822695
Rio Forqueta,Baixa,Baixo,Baixa,Pouso Novo,RS,31946.15304696385
Rio Forqueta,Baixa,Baixo,Baixa,Putinga,RS,27365.41830731745
Rio Forqueta,Baixa,Baixo,Baixa,São José do Herval,RS,27365.41830731745
Rio Forqueta,Baixa,Baixo,Baixa,Travesseiro,RS,14241.725871986466
Rio Forqueta,Média,Alto,Alta,Marques de Souza,RS,15674.822242673996
Rio Forqueta,Média,Alto,Alta,Travesseiro,RS,15674.822242673996
Rio Forquilha ou Inhanduva,Alta,Alto,Alta,Machadinho,RS,51518.617807341245
Rio Forquilha ou Inhanduva,Alta,Alto,Alta,Maximiliano de Almeida,RS,42313.7264432891
Rio Forquilha ou Inhanduva,Alta,Alto,Alta,Paim Filho,RS,51518.617807341245
Rio Francês,Alta,Alto,Alta,Seritinga,MG,3823.3339933327616
Rio Francês,Alta,Alto,Alta,Serranos,MG,3823.3339933327616
Rio Francês,Alta,Baixo,Média,Aiuruoca,MG,20470.36917105596
Rio Francês,Alta,Baixo,Média,Carvalhos,MG,30279.23662646586
Rio Francês,Alta,Baixo,Média,Seritinga,MG,9808.867455409898
Rio Fumaça,Média,Médio,Média,Muriaé,MG,9506.171658145191
Rio Fundão,Alta,Médio,Alta,Fundão,ES,27223.388412974404
Rio Fundão,Alta,Médio,Alta,Santa Teresa,ES,15303.58236487976
Rio Fão,Alta,Alto,Alta,Barros Cassal,RS,16864.461053476934
Rio Fão,Alta,Alto,Alta,Fontoura Xavier,RS,35586.60501902898
Rio Fão,Alta,Alto,Alta,Marques de Souza,RS,20585.092574621973
Rio Fão,Alta,Alto,Alta,Pouso Novo,RS,20585.092574621973
Rio Fão,Alta,Alto,Alta,Progresso,RS,28993.10926195539
Rio Fão,Baixa,Baixo,Baixa,Fontoura Xavier,RS,671.1786872874968
Rio Gararu,Baixa,Baixo,Baixa,Gararu,SE,5169.279640517241
Rio Glória,Alta,Baixo,Média,Miradouro,MG,8327.790401779304
Rio Glória,Alta,Baixo,Média,Muriaé,MG,4871.789560479578
Rio Glória,Alta,Baixo,Média,Vieiras,MG,10727.902235092593
Rio Glória,Alta,Médio,Alta,Miradouro,MG,5463.68761769267
Rio Glória,Alta,Médio,Alta,Vieiras,MG,2863.21880030743
Rio Grajaú,Alta,Baixo,Média,Grajaú,MA,40984.31327403258
Rio Grajaú,Alta,Baixo,Média,Satubinha,MA,31746.87413496908
Rio Grajaú,Alta,Baixo,Média,Vitorino Freire,MA,31746.87413496908
Rio Gramame,Baixa,Médio,Média,Alhandra,PB,22328.15985276619
Rio Gramame,Baixa,Médio,Média,Pedras de Fogo,PB,22328.15985276619
Rio Grande,Alta,Alto,Alta,Entre Rios de Minas,MG,8853.01453546156
Rio Grande,Alta,Alto,Alta,Lagoa Dourada,MG,5778.072664981794
Rio Grande,Alta,Baixo,Média,Bom Sucesso,MG,2334.301261750086
Rio Grande,Alta,Baixo,Média,Ibituruna,MG,32741.519267241678
Rio Grande,Alta,Baixo,Média,Ijaci,MG,19450.091441325396
Rio Grande,Alta,Baixo,Média,Itumirim,MG,30407.21800549159
Rio Grande,Alta,Baixo,Média,Itutinga,MG,13291.427825916282
Rio Grande,Alta,Baixo,Média,Lagoa Dourada,MG,11609.453748801028
Rio Grande,Alta,Baixo,Média,Nazareno,MG,13291.427825916282
Rio Grande,Baixa,Baixo,Baixa,Primeira Cruz,MA,41882.62488993766
Rio Grande,Baixa,Baixo,Baixa,Santo Amaro do Maranhão,MA,48015.88960268557
Rio Grande,Baixa,Médio,Média,Bom Jardim,RJ,11662.46773380272
Rio Grande,Baixa,Médio,Média,Cordeiro,RJ,11579.67342022027
Rio Grande,Baixa,Médio,Média,Macuco,RJ,26695.196730625517
Rio Grande,Baixa,Médio,Média,Santa Maria Madalena,RJ,38990.342688446966
Rio Grande,Baixa,Médio,Média,São Fidélis,RJ,3260.735586178892
Rio Grande,Baixa,Médio,Média,São Sebastião do Alto,RJ,50845.13041267332
Rio Grande,Baixa,Médio,Média,Trajano de Moraes,RJ,41747.895680419344
Rio Grande,Média,Alto,Alta,Bom Sucesso,MG,33203.960128376726
Rio Grande,Média,Alto,Alta,Ijaci,MG,33203.960128376726
Rio Grande,Média,Alto,Alta,Lavras,MG,33203.960128376726
Rio Grande,Média,Alto,Alta,Nova Friburgo,RJ,36506.66291111342
Rio Grande,Média,Alto,Alta,Perdões,MG,33203.960128376726
Rio Grande,Média,Alto,Alta,Ribeirão Vermelho,MG,33203.960128376726
Rio Grande,Média,Baixo,Baixa,Andrelândia,MG,19703.79495572744
Rio Grande,Média,Baixo,Baixa,Cássia,MG,31314.088510611065
Rio Grande,Média,Baixo,Baixa,Delfinópolis,MG,69235.33795213937
Rio Grande,Média,Baixo,Baixa,Ibiraci,MG,40028.23546747606
Rio Grande,Média,Baixo,Baixa,Passos,MG,70018.98271561883
Rio Grande,Média,Baixo,Baixa,Piedade do Rio Grande,MG,22463.878625567624
Rio Grande,Média,Baixo,Baixa,Sacramento,MG,28726.15788468786
Rio Grande,Média,Baixo,Baixa,São João Batista do Glória,MG,30924.854836243394
Rio Grande,Média,Médio,Média,Andrelândia,MG,26729.363865430692
Rio Grande,Média,Médio,Média,Barra,BA,7256.250448065888
Rio Grande,Média,Médio,Média,Santana do Garambéu,MG,26729.363865430692
Rio Gravatá,Média,Baixo,Baixa,Novo Cruzeiro,MG,32483.217492613672
Rio Gregório,Alta,Baixo,Média,Eirunepé,AC,6558.103141906948
Rio Gregório,Alta,Baixo,Média,Eirunepé,AM,6558.103141906948
Rio Gregório,Alta,Baixo,Média,Ipixuna,AC,6558.103141906948
Rio Gregório,Alta,Baixo,Média,Ipixuna,AM,6558.103141906948
Rio Gregório,Alta,Baixo,Média,Tarauacá,AC,115601.259907422
Rio Gregório,Alta,Baixo,Média,Tarauacá,AM,6558.103141906948
Rio Gregório,Alta,Médio,Alta,Tarauacá,AC,32729.905546923015
Rio Groaíras,Média,Baixo,Baixa,Groaíras,CE,17411.325904211393
Rio Groaíras,Média,Baixo,Baixa,Santa Quitéria,CE,9456.513399395659
Rio Grápia,Alta,Baixo,Média,Abel Figueiredo,MA,10031.008438034454
Rio Grápia,Alta,Baixo,Média,Abel Figueiredo,PA,10031.008438034454
Rio Grápia,Alta,Baixo,Média,São Pedro da Água Branca,MA,10031.008438034454
Rio Grápia,Alta,Baixo,Média,São Pedro da Água Branca,PA,10031.008438034454
Rio Gualaxo do Norte,Alta,Baixo,Média,Barra Longa,MG,16303.997674245176
Rio Gualaxo do Norte,Alta,Baixo,Média,Mariana,MG,8339.582821913364
Rio Guamá,Baixa,Médio,Média,Irituia,PA,15986.437410988652
Rio Guamá,Baixa,Médio,Média,São Miguel do Guamá,PA,15986.437410988652
Rio Guandu,Alta,Baixo,Média,Afonso Cláudio,ES,6918.207766946529
Rio Guandu,Alta,Médio,Alta,Laranja da Terra,ES,22654.225331482117
Rio Guandu,Média,Alto,Alta,Japeri,RJ,23739.467507159894
Rio Guandu,Média,Alto,Alta,Paracambi,RJ,4553.917938109454
Rio Guandu,Média,Alto,Alta,Queimados,RJ,19185.54956905044
Rio Guandu,Média,Alto,Alta,Seropédica,RJ,23739.467507159894
Rio Guanhanha,Alta,Alto,Alta,Itariri,SP,18366.38693511775
