dia;temp_min_c;temp_max_c;condicao;prob_chuva_%;volume_chuva_mm
30/08 (Sat);15.56;21.54;nuvens dispersas;0.0;
31/08 (Sun);15.08;23.48;céu limpo;0.0;
01/09 (Mon);15.39;26.24;céu limpo;0.0;
02/09 (Tue);16.02;27.98;nublado;0.0;
03/09 (Wed);17.37;30.0;céu limpo;0.0;
04/09 (Thu);18.92;30.66;nublado;0.0;
05/09 (Fri);16.14;29.25;chuva leve;20.0;0.21
06/09 (Sat);13.9;15.45;chuva leve;37.0;1.56
