dia;temp_min_c;temp_max_c;condicao;prob_chuva_%;volume_chuva_mm;vento_kmh;rajadas_kmh;pressao_hpa;nuvens_%
31/08 (Sun);15.29;21.83;algumas nuvens;0.0;0.0;24.08;38.92;1024;24
01/09 (Mon);15.11;26.12;céu limpo;0.0;0.0;25.88;39.56;1023;0
02/09 (Tue);16.06;27.49;céu limpo;0.0;0.0;17.6;38.92;1022;0
03/09 (Wed);17.47;29.76;céu limpo;0.0;0.0;13.21;34.56;1019;1
04/09 (Thu);18.73;30.2;nuvens dispersas;0.0;0.0;16.78;52.34;1016;41
05/09 (Fri);15.07;23.09;chuva leve;20.0;0.12;29.2;52.2;1021;67
06/09 (Sat);13.02;14.44;chuva leve;37.0;1.11;22.28;35.5;1026;100
07/09 (Sun);13.32;16.75;chuva leve;20.0;0.24;19.98;29.2;1024;100
